Wd,Wn,We,Wout,N,DC Gain,Freq Corte,SR
6.2e-06,8.599999999999999e-06,1.2e-06,6.4e-06,9,0.19884351738246872,29512092.26666327,3239118.8
5.4e-06,8.599999999999999e-06,3.2e-06,2.2e-06,15,1.7516648805174513,891250.9381337316,2838169.8
5.7999999999999995e-06,7.3999999999999995e-06,7.6e-06,5.6e-06,15,1734.2129657012522,3890.451449942776,14975248.0
2e-06,8e-06,5.4e-06,4.6e-06,17,1226.2598747400973,3162.277660168356,11928067.0
6e-07,6.4e-06,5.199999999999999e-06,3.6e-06,4,883.8227646292867,2089.2961308540253,5463720.5
9.8e-06,6.2e-06,4.6e-06,9.6e-06,1,1884.2921751370834,2398.832919019474,12118935.0
4.6e-06,2.2e-06,5.4e-06,8e-06,17,2296.175694665029,2238.7211385683245,9986149.0
4e-06,3e-06,5.199999999999999e-06,6e-07,19,0.8771800629165322,4466835.921509551,2686872.2
9.6e-06,1.6e-06,6.2e-06,4.8e-06,12,1398.448793852119,4786.300923226344,9749911.0
3.6e-06,1.2e-06,2.8e-06,2.2e-06,12,49.52253005580183,47863.00923226332,6313133.5
2.2e-06,2e-07,3.6e-06,1.2e-06,5,16.602864199315974,123026.87708123666,1877843.4
3e-06,9.6e-06,2e-06,4e-06,7,0.6232113886373051,5128613.839913555,935944.0
6.799999999999999e-06,5.4e-06,4.2e-06,2e-06,8,42.115856681410854,109647.81961431721,9084075.0
8.8e-06,2.4e-06,8.4e-06,8e-06,16,2490.2423964241957,2818.3829312644334,11351288.0
2.4e-06,1e-06,7.2e-06,2.5999999999999997e-06,19,180.68746518297354,16982.436524617286,5642096.5
5.199999999999999e-06,8.4e-06,5.199999999999999e-06,4.4e-06,11,1280.3228703211694,4570.881896148713,14495567.0
9.8e-06,5.7999999999999995e-06,2e-06,4.6e-06,18,0.15874119884396018,37153522.9097165,5209218.5
9.4e-06,9.6e-06,9.6e-06,9.2e-06,17,2484.5601512875123,3235.9365692962583,16696646.0
6.2e-06,6.4e-06,9e-06,8e-06,4,2373.3020642603337,2951.209226666364,13041611.0
